agemos,L,M,S,P1,P3,P5,P15,P25,P50,P75,P85,P95,P97,P99
0,-0.0631,13.3363,0.09272,10.8,11.2,11.5,12.1,12.5,13.3,14.2,14.7,15.5,15.9,16.6
1,0.3448,14.5679,0.09556,11.6,12.1,12.4,13.2,13.6,14.6,15.5,16.1,17.0,17.3,18.0
2,0.1749,15.7679,0.09371,12.6,13.2,13.5,14.3,14.8,15.8,16.8,17.4,18.4,18.8,19.5
3,0.0643,16.3574,0.09254,13.2,13.7,14.0,14.9,15.4,16.4,17.4,18.0,19.0,19.4,20.3
4,-0.0191,16.6703,0.09166,13.5,14.0,14.3,15.2,15.7,16.7,17.7,18.3,19.4,19.8,20.6
5,-0.0864,16.8386,0.09096,13.7,14.2,14.5,15.3,15.8,16.8,17.9,18.5,19.6,20.0,20.8
6,-0.1429,16.9083,0.09036,13.7,14.3,14.6,15.4,15.9,16.9,18.0,18.6,19.6,20.1,20.9
7,-0.1916,16.9020,0.08984,13.8,14.3,14.6,15.4,15.9,16.9,18.0,18.6,19.6,20.1,20.9
8,-0.2344,16.8404,0.08939,13.7,14.3,14.6,15.4,15.9,16.8,17.9,18.5,19.6,20.0,20.8
9,-0.2725,16.7406,0.08898,13.7,14.2,14.5,15.3,15.8,16.7,17.8,18.4,19.4,19.9,20.7
10,-0.3068,16.6184,0.08861,13.6,14.1,14.4,15.2,15.7,16.6,17.7,18.2,19.3,19.7,20.6
11,-0.3381,16.4875,0.08828,13.5,14.0,14.3,15.1,15.5,16.5,17.5,18.1,19.1,19.6,20.4
12,-0.3667,16.3568,0.08797,13.4,13.9,14.2,15.0,15.4,16.4,17.4,17.9,19.0,19.4,20.2
13,-0.3932,16.2311,0.08768,13.3,13.8,14.1,14.8,15.3,16.2,17.2,17.8,18.8,19.2,20.1
14,-0.4177,16.1128,0.08741,13.3,13.7,14.0,14.7,15.2,16.1,17.1,17.7,18.7,19.1,19.9
15,-0.4407,16.0028,0.08716,13.2,13.7,13.9,14.6,15.1,16.0,17.0,17.5,18.6,19.0,19.8
16,-0.4623,15.9017,0.08693,13.1,13.6,13.8,14.6,15.0,15.9,16.9,17.4,18.4,18.8,19.7
17,-0.4825,15.8096,0.08671,13.0,13.5,13.8,14.5,14.9,15.8,16.8,17.3,18.3,18.7,19.5
18,-0.5017,15.7263,0.08650,13.0,13.4,13.7,14.4,14.8,15.7,16.7,17.2,18.2,18.6,19.4
19,-0.5199,15.6517,0.08630,12.9,13.4,13.6,14.3,14.8,15.7,16.6,17.2,18.1,18.5,19.3
20,-0.5372,15.5855,0.08612,12.9,13.3,13.6,14.3,14.7,15.6,16.5,17.1,18.1,18.5,19.3
21,-0.5537,15.5278,0.08594,12.8,13.3,13.6,14.2,14.7,15.5,16.5,17.0,18.0,18.4,19.2
22,-0.5695,15.4787,0.08577,12.8,13.3,13.5,14.2,14.6,15.5,16.4,17.0,17.9,18.3,19.1
23,-0.5846,15.4380,0.08560,12.8,13.2,13.5,14.2,14.6,15.4,16.4,16.9,17.9,18.3,19.1
24,-0.5684,15.6881,0.08454,13.0,13.5,13.7,14.4,14.8,15.7,16.6,17.2,18.1,18.5,19.3
25,-0.5684,15.6590,0.08452,13.0,13.4,13.7,14.4,14.8,15.7,16.6,17.1,18.1,18.5,19.3
26,-0.5684,15.6308,0.08449,13.0,13.4,13.7,14.4,14.8,15.6,16.6,17.1,18.1,18.5,19.3
27,-0.5684,15.6037,0.08446,13.0,13.4,13.7,14.3,14.8,15.6,16.5,17.1,18.0,18.4,19.2
28,-0.5684,15.5777,0.08444,12.9,13.4,13.6,14.3,14.7,15.6,16.5,17.0,18.0,18.4,19.2
29,-0.5684,15.5523,0.08443,12.9,13.4,13.6,14.3,14.7,15.6,16.5,17.0,18.0,18.4,19.2
30,-0.5684,15.5276,0.08444,12.9,13.3,13.6,14.3,14.7,15.5,16.5,17.0,17.9,18.3,19.1
31,-0.5684,15.5034,0.08448,12.9,13.3,13.6,14.2,14.7,15.5,16.4,17.0,17.9,18.3,19.1
32,-0.5684,15.4798,0.08455,12.8,13.3,13.5,14.2,14.6,15.5,16.4,16.9,17.9,18.3,19.1
33,-0.5684,15.4572,0.08467,12.8,13.3,13.5,14.2,14.6,15.5,16.4,16.9,17.9,18.3,19.0
34,-0.5684,15.4356,0.08484,12.8,13.2,13.5,14.2,14.6,15.4,16.4,16.9,17.9,18.2,19.0
35,-0.5684,15.4155,0.08506,12.8,13.2,13.5,14.1,14.6,15.4,16.3,16.9,17.8,18.2,19.0
36,-0.5684,15.3968,0.08535,12.8,13.2,13.5,14.1,14.5,15.4,16.3,16.9,17.8,18.2,19.0
37,-0.5684,15.3796,0.08569,12.7,13.2,13.4,14.1,14.5,15.4,16.3,16.8,17.8,18.2,19.0
38,-0.5684,15.3638,0.08609,12.7,13.2,13.4,14.1,14.5,15.4,16.3,16.8,17.8,18.2,19.0
39,-0.5684,15.3493,0.08654,12.7,13.1,13.4,14.1,14.5,15.3,16.3,16.8,17.8,18.2,19.0
40,-0.5684,15.3358,0.08704,12.7,13.1,13.4,14.0,14.5,15.3,16.3,16.8,17.8,18.2,19.0
41,-0.5684,15.3233,0.08757,12.6,13.1,13.3,14.0,14.5,15.3,16.3,16.8,17.8,18.2,19.0
42,-0.5684,15.3116,0.08813,12.6,13.1,13.3,14.0,14.4,15.3,16.3,16.8,17.8,18.2,19.0
43,-0.5684,15.3007,0.08872,12.6,13.0,13.3,14.0,14.4,15.3,16.3,16.8,17.8,18.2,19.1
44,-0.5684,15.2905,0.08931,12.6,13.0,13.3,14.0,14.4,15.3,16.3,16.8,17.8,18.2,19.1
45,-0.5684,15.2814,0.08991,12.5,13.0,13.3,14.0,14.4,15.3,16.3,16.8,17.8,18.3,19.1
46,-0.5684,15.2732,0.09051,12.5,13.0,13.2,13.9,14.4,15.3,16.3,16.8,17.8,18.3,19.1
47,-0.5684,15.2661,0.09110,12.5,13.0,13.2,13.9,14.4,15.3,16.3,16.8,17.9,18.3,19.1
48,-0.5684,15.2602,0.09168,12.5,12.9,13.2,13.9,14.4,15.3,16.3,16.8,17.9,18.3,19.2
49,-0.5684,15.2556,0.09227,12.5,12.9,13.2,13.9,14.4,15.3,16.3,16.8,17.9,18.3,19.2
50,-0.5684,15.2523,0.09286,12.4,12.9,13.2,13.9,14.3,15.3,16.3,16.8,17.9,18.3,19.2
51,-0.5684,15.2503,0.09345,12.4,12.9,13.2,13.9,14.3,15.3,16.3,16.8,17.9,18.4,19.2
52,-0.5684,15.2496,0.09403,12.4,12.9,13.1,13.9,14.3,15.2,16.3,16.9,17.9,18.4,19.3
53,-0.5684,15.2502,0.09460,12.4,12.9,13.1,13.9,14.3,15.3,16.3,16.9,17.9,18.4,19.3
54,-0.5684,15.2519,0.09515,12.4,12.9,13.1,13.9,14.3,15.3,16.3,16.9,18.0,18.4,19.3
55,-0.5684,15.2544,0.09568,12.4,12.9,13.1,13.9,14.3,15.3,16.3,16.9,18.0,18.4,19.4
56,-0.5684,15.2575,0.09618,12.4,12.8,13.1,13.8,14.3,15.3,16.3,16.9,18.0,18.5,19.4
57,-0.5684,15.2612,0.09665,12.4,12.8,13.1,13.8,14.3,15.3,16.3,16.9,18.0,18.5,19.4
58,-0.5684,15.2653,0.09709,12.3,12.8,13.1,13.8,14.3,15.3,16.3,16.9,18.0,18.5,19.4
59,-0.5684,15.2698,0.09750,12.3,12.8,13.1,13.8,14.3,15.3,16.3,16.9,18.1,18.5,19.5
60,-0.5684,15.2747,0.09789,12.3,12.8,13.1,13.8,14.3,15.3,16.3,17.0,18.1,18.6,19.5
61,-0.8886,15.2441,0.09692,12.4,12.9,13.1,13.8,14.3,15.2,16.3,16.9,18.1,18.6,19.6
62,-0.9068,15.2434,0.09738,12.4,12.9,13.1,13.8,14.3,15.2,16.3,16.9,18.1,18.6,19.6
63,-0.9248,15.2433,0.09783,12.4,12.9,13.1,13.8,14.3,15.2,16.3,17.0,18.1,18.7,19.7
64,-0.9427,15.2438,0.09829,12.4,12.9,13.1,13.8,14.3,15.2,16.3,17.0,18.2,18.7,19.7
65,-0.9605,15.2448,0.09875,12.4,12.9,13.1,13.8,14.3,15.2,16.3,17.0,18.2,18.7,19.8
66,-0.9780,15.2464,0.09920,12.4,12.8,13.1,13.8,14.3,15.2,16.3,17.0,18.2,18.7,19.8
67,-0.9954,15.2487,0.09966,12.4,12.8,13.1,13.8,14.3,15.2,16.3,17.0,18.2,18.8,19.8
68,-1.0126,15.2516,0.10012,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.0,18.3,18.8,19.9
69,-1.0296,15.2551,0.10058,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.0,18.3,18.8,19.9
70,-1.0464,15.2592,0.10104,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.0,18.3,18.9,20.0
71,-1.0630,15.2641,0.10149,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.1,18.3,18.9,20.0
72,-1.0794,15.2697,0.10195,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.1,18.4,18.9,20.1
73,-1.0956,15.2760,0.10241,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.1,18.4,19.0,20.1
74,-1.1115,15.2831,0.10287,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.1,18.4,19.0,20.2
75,-1.1272,15.2911,0.10333,12.4,12.8,13.1,13.8,14.3,15.3,16.4,17.1,18.5,19.0,20.2
76,-1.1427,15.2998,0.10379,12.4,12.8,13.1,13.8,14.3,15.3,16.5,17.2,18.5,19.1,20.3
77,-1.1579,15.3095,0.10425,12.4,12.8,13.1,13.8,14.3,15.3,16.5,17.2,18.5,19.1,20.4
78,-1.1728,15.3200,0.10471,12.4,12.8,13.1,13.8,14.3,15.3,16.5,17.2,18.6,19.2,20.4
79,-1.1875,15.3314,0.10517,12.4,12.8,13.1,13.8,14.3,15.3,16.5,17.2,18.6,19.2,20.5
80,-1.2019,15.3439,0.10562,12.4,12.8,13.1,13.8,14.3,15.3,16.5,17.3,18.6,19.3,20.5
81,-1.2160,15.3572,0.10608,12.4,12.8,13.1,13.9,14.3,15.4,16.6,17.3,18.7,19.3,20.6
82,-1.2298,15.3717,0.10654,12.4,12.9,13.1,13.9,14.3,15.4,16.6,17.3,18.7,19.3,20.7
83,-1.2433,15.3871,0.10700,12.4,12.9,13.1,13.9,14.4,15.4,16.6,17.3,18.8,19.4,20.7
84,-1.2565,15.4036,0.10746,12.4,12.9,13.1,13.9,14.4,15.4,16.6,17.4,18.8,19.4,20.8
